Location_ID,Sensing_DateTime,Sensing_Date,Sensing_Time,Direction_1,Direction_2,Total_of_Directions
71,2025-05-25T02:22:00+02:00,2025-05-25,10:22,1,0,1
75,2025-05-25T02:11:00+02:00,2025-05-25,10:11,0,1,1
75,2025-05-25T02:13:00+02:00,2025-05-25,10:13,0,1,1
75,2025-05-25T02:22:00+02:00,2025-05-25,10:22,2,1,3
77,2025-05-25T02:15:00+02:00,2025-05-25,10:15,18,16,34
78,2025-05-25T02:11:00+02:00,2025-05-25,10:11,2,2,4
78,2025-05-25T02:12:00+02:00,2025-05-25,10:12,0,5,5
78,2025-05-25T02:15:00+02:00,2025-05-25,10:15,11,1,12
78,2025-05-25T02:22:00+02:00,2025-05-25,10:22,1,1,2
78,2025-05-25T02:24:00+02:00,2025-05-25,10:24,1,0,1
84,2025-05-25T02:10:00+02:00,2025-05-25,10:10,40,27,67
84,2025-05-25T02:15:00+02:00,2025-05-25,10:15,45,43,88
87,2025-05-25T02:13:00+02:00,2025-05-25,10:13,0,2,2
87,2025-05-25T02:20:00+02:00,2025-05-25,10:20,2,4,6
87,2025-05-25T02:21:00+02:00,2025-05-25,10:21,5,1,6
107,2025-05-25T02:20:00+02:00,2025-05-25,10:20,2,11,13
108,2025-05-25T02:10:00+02:00,2025-05-25,10:10,9,1,10
108,2025-05-25T02:11:00+02:00,2025-05-25,10:11,2,2,4
108,2025-05-25T02:12:00+02:00,2025-05-25,10:12,0,8,8
108,2025-05-25T02:14:00+02:00,2025-05-25,10:14,4,0,4
108,2025-05-25T02:23:00+02:00,2025-05-25,10:23,4,1,5
124,2025-05-25T02:10:00+02:00,2025-05-25,10:10,0,1,1
132,2025-05-25T02:10:00+02:00,2025-05-25,10:10,10,2,12
132,2025-05-25T02:20:00+02:00,2025-05-25,10:20,14,3,17
133,2025-05-25T02:10:00+02:00,2025-05-25,10:10,26,44,70
134,2025-05-25T02:10:00+02:00,2025-05-25,10:10,28,33,61
135,2025-05-25T02:20:00+02:00,2025-05-25,10:20,29,42,71
140,2025-05-25T02:20:00+02:00,2025-05-25,10:20,17,4,21
162,2025-05-25T02:15:00+02:00,2025-05-25,10:15,23,33,56
166,2025-05-25T02:20:00+02:00,2025-05-25,10:20,4,4,8
167,2025-05-25T02:10:00+02:00,2025-05-25,10:10,2,3,5
167,2025-05-25T02:20:00+02:00,2025-05-25,10:20,0,10,10
1,2025-05-25T02:11:00+02:00,2025-05-25,10:11,4,5,9
1,2025-05-25T02:17:00+02:00,2025-05-25,10:17,10,8,18
1,2025-05-25T02:18:00+02:00,2025-05-25,10:18,5,8,13
1,2025-05-25T02:20:00+02:00,2025-05-25,10:20,2,10,12
2,2025-05-25T02:11:00+02:00,2025-05-25,10:11,0,5,5
2,2025-05-25T02:13:00+02:00,2025-05-25,10:13,1,1,2
2,2025-05-25T02:14:00+02:00,2025-05-25,10:14,1,3,4
2,2025-05-25T02:15:00+02:00,2025-05-25,10:15,8,4,12
2,2025-05-25T02:16:00+02:00,2025-05-25,10:16,4,8,12
2,2025-05-25T02:20:00+02:00,2025-05-25,10:20,0,7,7
2,2025-05-25T02:21:00+02:00,2025-05-25,10:21,8,3,11
9,2025-05-25T02:10:00+02:00,2025-05-25,10:10,2,1,3
9,2025-05-25T02:13:00+02:00,2025-05-25,10:13,1,4,5
9,2025-05-25T02:15:00+02:00,2025-05-25,10:15,1,0,1
9,2025-05-25T02:17:00+02:00,2025-05-25,10:17,1,0,1
9,2025-05-25T02:18:00+02:00,2025-05-25,10:18,0,1,1
9,2025-05-25T02:20:00+02:00,2025-05-25,10:20,0,2,2
9,2025-05-25T02:23:00+02:00,2025-05-25,10:23,0,2,2
10,2025-05-25T02:10:00+02:00,2025-05-25,10:10,0,3,3
10,2025-05-25T02:19:00+02:00,2025-05-25,10:19,0,2,2
11,2025-05-25T02:10:00+02:00,2025-05-25,10:10,0,1,1
11,2025-05-25T02:12:00+02:00,2025-05-25,10:12,1,0,1
11,2025-05-25T02:13:00+02:00,2025-05-25,10:13,0,2,2
11,2025-05-25T02:14:00+02:00,2025-05-25,10:14,0,2,2
12,2025-05-25T02:10:00+02:00,2025-05-25,10:10,1,2,3
12,2025-05-25T02:13:00+02:00,2025-05-25,10:13,0,1,1
12,2025-05-25T02:16:00+02:00,2025-05-25,10:16,3,1,4
12,2025-05-25T02:18:00+02:00,2025-05-25,10:18,5,6,11
12,2025-05-25T02:19:00+02:00,2025-05-25,10:19,0,2,2
12,2025-05-25T02:20:00+02:00,2025-05-25,10:20,4,0,4
12,2025-05-25T02:22:00+02:00,2025-05-25,10:22,1,2,3
12,2025-05-25T02:23:00+02:00,2025-05-25,10:23,1,1,2
17,2025-05-25T02:15:00+02:00,2025-05-25,10:15,2,0,2
17,2025-05-25T02:17:00+02:00,2025-05-25,10:17,4,0,4
17,2025-05-25T02:18:00+02:00,2025-05-25,10:18,2,8,10
17,2025-05-25T02:20:00+02:00,2025-05-25,10:20,4,1,5
17,2025-05-25T02:21:00+02:00,2025-05-25,10:21,1,3,4
17,2025-05-25T02:23:00+02:00,2025-05-25,10:23,3,0,3
18,2025-05-25T02:15:00+02:00,2025-05-25,10:15,1,1,2
18,2025-05-25T02:16:00+02:00,2025-05-25,10:16,3,2,5
19,2025-05-25T02:15:00+02:00,2025-05-25,10:15,2,0,2
19,2025-05-25T02:17:00+02:00,2025-05-25,10:17,3,8,11
19,2025-05-25T02:23:00+02:00,2025-05-25,10:23,4,1,5
20,2025-05-25T02:13:00+02:00,2025-05-25,10:13,3,0,3
20,2025-05-25T02:19:00+02:00,2025-05-25,10:19,0,3,3
23,2025-05-25T02:10:00+02:00,2025-05-25,10:10,2,2,4
23,2025-05-25T02:12:00+02:00,2025-05-25,10:12,3,6,9
23,2025-05-25T02:14:00+02:00,2025-05-25,10:14,2,4,6
24,2025-05-25T02:14:00+02:00,2025-05-25,10:14,0,23,23
24,2025-05-25T02:15:00+02:00,2025-05-25,10:15,9,6,15
24,2025-05-25T02:18:00+02:00,2025-05-25,10:18,7,0,7
24,2025-05-25T02:23:00+02:00,2025-05-25,10:23,10,9,19
24,2025-05-25T02:24:00+02:00,2025-05-25,10:24,16,3,19
25,2025-05-25T02:20:00+02:00,2025-05-25,10:20,25,52,77
27,2025-05-25T02:13:00+02:00,2025-05-25,10:13,6,5,11
27,2025-05-25T02:14:00+02:00,2025-05-25,10:14,1,3,4
27,2025-05-25T02:15:00+02:00,2025-05-25,10:15,0,1,1
27,2025-05-25T02:19:00+02:00,2025-05-25,10:19,4,2,6
27,2025-05-25T02:21:00+02:00,2025-05-25,10:21,4,1,5
27,2025-05-25T02:22:00+02:00,2025-05-25,10:22,1,2,3
27,2025-05-25T02:24:00+02:00,2025-05-25,10:24,0,3,3
30,2025-05-25T02:10:00+02:00,2025-05-25,10:10,0,4,4
30,2025-05-25T02:11:00+02:00,2025-05-25,10:11,0,5,5
30,2025-05-25T02:13:00+02:00,2025-05-25,10:13,1,3,4
30,2025-05-25T02:16:00+02:00,2025-05-25,10:16,2,2,4
30,2025-05-25T02:18:00+02:00,2025-05-25,10:18,2,1,3
30,2025-05-25T02:19:00+02:00,2025-05-25,10:19,2,6,8
30,2025-05-25T02:20:00+02:00,2025-05-25,10:20,2,1,3
35,2025-05-25T02:11:00+02:00,2025-05-25,10:11,25,16,41
35,2025-05-25T02:17:00+02:00,2025-05-25,10:17,13,8,21
35,2025-05-25T02:19:00+02:00,2025-05-25,10:19,19,13,32
35,2025-05-25T02:23:00+02:00,2025-05-25,10:23,15,14,29
35,2025-05-25T02:24:00+02:00,2025-05-25,10:24,12,6,18
46,2025-05-25T02:10:00+02:00,2025-05-25,10:10,1,5,6
46,2025-05-25T02:20:00+02:00,2025-05-25,10:20,1,2,3
48,2025-05-25T02:12:00+02:00,2025-05-25,10:12,2,3,5
48,2025-05-25T02:15:00+02:00,2025-05-25,10:15,3,4,7
48,2025-05-25T02:18:00+02:00,2025-05-25,10:18,3,5,8
48,2025-05-25T02:19:00+02:00,2025-05-25,10:19,5,4,9
48,2025-05-25T02:22:00+02:00,2025-05-25,10:22,1,6,7
49,2025-05-25T02:10:00+02:00,2025-05-25,10:10,20,4,24
49,2025-05-25T02:21:00+02:00,2025-05-25,10:21,15,9,24
49,2025-05-25T02:22:00+02:00,2025-05-25,10:22,3,10,13
49,2025-05-25T02:23:00+02:00,2025-05-25,10:23,13,7,20
51,2025-05-25T02:11:00+02:00,2025-05-25,10:11,0,1,1
51,2025-05-25T02:14:00+02:00,2025-05-25,10:14,0,3,3
51,2025-05-25T02:16:00+02:00,2025-05-25,10:16,0,1,1
51,2025-05-25T02:21:00+02:00,2025-05-25,10:21,3,2,5
51,2025-05-25T02:24:00+02:00,2025-05-25,10:24,1,4,5
52,2025-05-25T02:11:00+02:00,2025-05-25,10:11,2,1,3
52,2025-05-25T02:13:00+02:00,2025-05-25,10:13,0,1,1
52,2025-05-25T02:17:00+02:00,2025-05-25,10:17,1,1,2
52,2025-05-25T02:18:00+02:00,2025-05-25,10:18,4,1,5
52,2025-05-25T02:19:00+02:00,2025-05-25,10:19,10,3,13
52,2025-05-25T02:22:00+02:00,2025-05-25,10:22,3,1,4
53,2025-05-25T02:10:00+02:00,2025-05-25,10:10,4,1,5
53,2025-05-25T02:14:00+02:00,2025-05-25,10:14,5,0,5
53,2025-05-25T02:15:00+02:00,2025-05-25,10:15,3,4,7
53,2025-05-25T02:18:00+02:00,2025-05-25,10:18,4,2,6
56,2025-05-25T02:11:00+02:00,2025-05-25,10:11,10,0,10
56,2025-05-25T02:13:00+02:00,2025-05-25,10:13,1,6,7
56,2025-05-25T02:14:00+02:00,2025-05-25,10:14,4,2,6
56,2025-05-25T02:19:00+02:00,2025-05-25,10:19,11,4,15
56,2025-05-25T02:20:00+02:00,2025-05-25,10:20,3,3,6
58,2025-05-25T02:12:00+02:00,2025-05-25,10:12,1,7,8
58,2025-05-25T02:13:00+02:00,2025-05-25,10:13,9,1,10
58,2025-05-25T02:16:00+02:00,2025-05-25,10:16,8,1,9
58,2025-05-25T02:19:00+02:00,2025-05-25,10:19,1,2,3
58,2025-05-25T02:20:00+02:00,2025-05-25,10:20,1,0,1
58,2025-05-25T02:22:00+02:00,2025-05-25,10:22,7,2,9
62,2025-05-25T02:13:00+02:00,2025-05-25,10:13,1,4,5
62,2025-05-25T02:15:00+02:00,2025-05-25,10:15,2,3,5
62,2025-05-25T02:19:00+02:00,2025-05-25,10:19,7,0,7
63,2025-05-25T02:12:00+02:00,2025-05-25,10:12,0,6,6
63,2025-05-25T02:16:00+02:00,2025-05-25,10:16,1,1,2
63,2025-05-25T02:20:00+02:00,2025-05-25,10:20,1,6,7
63,2025-05-25T02:23:00+02:00,2025-05-25,10:23,0,3,3
63,2025-05-25T02:24:00+02:00,2025-05-25,10:24,3,9,12
67,2025-05-25T02:13:00+02:00,2025-05-25,10:13,0,5,5
67,2025-05-25T02:15:00+02:00,2025-05-25,10:15,5,4,9
68,2025-05-25T02:11:00+02:00,2025-05-25,10:11,4,1,5
68,2025-05-25T02:13:00+02:00,2025-05-25,10:13,4,7,11
68,2025-05-25T02:15:00+02:00,2025-05-25,10:15,2,7,9
68,2025-05-25T02:16:00+02:00,2025-05-25,10:16,3,4,7
68,2025-05-25T02:18:00+02:00,2025-05-25,10:18,4,4,8
68,2025-05-25T02:19:00+02:00,2025-05-25,10:19,7,4,11
68,2025-05-25T02:21:00+02:00,2025-05-25,10:21,6,4,10
68,2025-05-25T02:23:00+02:00,2025-05-25,10:23,0,5,5
72,2025-05-25T02:10:00+02:00,2025-05-25,10:10,0,1,1
